,url
0,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%40JULG+%3E%3D+19500101%29%28%40JULG+%3C%3D+20210101%29&base=baseRepercussao&url=http://tinyurl.com/stylyrj
1,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%28ACAO+OU+AGRAVANTE%24+OU+LIMINAR%24+OU+MANDATO%24+OU+CAUTELAR%24+OU+PETIC%24+OU+EMBARGO%24+OU+CRIME%24+OU+DOLO%24+OU+EMENTA%24+OU+APELAC%24+OU+JUSTICA%24+OU+JURIDICO%24+OU+JULGADOR%24+OU+STF+OU+LEI%24+OU+PROCESSO%24+OU+JUIZ%24+OU+TRIBUNA%24+OU+CONSUMIDOR%24+OU+CONSTITUCIONA%24+OU+INCONSTITUCIONA%24+OU+RECURSO%24+OU+ACORDAO%24+OU+REPERCUSSAO+OU+REU+OU+JUIZAD%24%29%29+NAO+S%2EFLSV%2E&base=baseSumulas&url=http://tinyurl.com/r52lono
8,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%28%40JULG+%3E%3D+19500101%29%28%40JULG+%3C%3D+20090101%29%29+NAO+S%2EPRES%2E&base=baseMonocraticas&url=http://tinyurl.com/uwlt7pe
3,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%28ACAO+OU+AGRAVANTE%24+OU+LIMINAR%24+OU+MANDATO%24+OU+CAUTELAR%24+OU+PETIC%24+OU+EMBARGO%24+OU+CRIME%24+OU+DOLO%24+OU+EMENTA%24+OU+APELAC%24+OU+JUSTICA%24+OU+JURIDICO%24+OU+JULGADOR%24+OU+STF+OU+LEI%24+OU+PROCESSO%24+OU+JUIZ%24+OU+TRIBUNA%24+OU+CONSUMIDOR%24+OU+CONSTITUCIONA%24+OU+INCONSTITUCIONA%24+OU+RECURSO%24+OU+ACORDAO%24+OU+REPERCUSSAO+OU+REU+OU+JUIZAD%24%29%29+E+S%2EFLSV%2E&base=baseSumulasVinculantes&url=http://tinyurl.com/r52lono
4,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%28ACAO+OU+AGRAVANTE%24+OU+LIMINAR%24+OU+MANDATO%24+OU+CAUTELAR%24+OU+PETIC%24+OU+EMBARGO%24+OU+CRIME%24+OU+DOLO%24+OU+EMENTA%24+OU+APELAC%24+OU+JUSTICA%24+OU+JURIDICO%24+OU+JULGADOR%24+OU+STF+OU+LEI%24+OU+PROCESSO%24+OU+JUIZ%24+OU+TRIBUNA%24+OU+CONSUMIDOR%24+OU+CONSTITUCIONA%24+OU+INCONSTITUCIONA%24+OU+RECURSO%24+OU+ACORDAO%24+OU+REPERCUSSAO+OU+REU+OU+JUIZAD%24%29%29+E+S%2EPRES%2E&base=basePresidencia&url=http://tinyurl.com/r52lono
5,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ACAO+OU+AGRAVANTE%24+OU+LIMINAR%24+OU+MANDATO%24+OU+CAUTELAR%24+OU+PETIC%24+OU+EMBARGO%24+OU+CRIME%24+OU+DOLO%24+OU+EMENTA%24+OU+APELAC%24+OU+JUSTICA%24+OU+JURIDICO%24+OU+JULGADOR%24+OU+STF+OU+LEI%24+OU+PROCESSO%24+OU+JUIZ%24+OU+TRIBUNA%24+OU+CONSUMIDOR%24+OU+CONSTITUCIONA%24+OU+INCONSTITUCIONA%24+OU+RECURSO%24+OU+ACORDAO%24+OU+REPERCUSSAO+OU+REU+OU+JUIZAD%24%29&base=baseRepercussao&url=http://tinyurl.com/r52lono
6,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ACAO+OU+AGRAVANTE%24+OU+LIMINAR%24+OU+MANDATO%24+OU+CAUTELAR%24+OU+PETIC%24+OU+EMBARGO%24+OU+CRIME%24+OU+DOLO%24+OU+EMENTA%24+OU+APELAC%24+OU+JUSTICA%24+OU+JURIDICO%24+OU+JULGADOR%24+OU+STF+OU+LEI%24+OU+PROCESSO%24+OU+JUIZ%24+OU+TRIBUNA%24+OU+CONSUMIDOR%24+OU+CONSTITUCIONA%24+OU+INCONSTITUCIONA%24+OU+RECURSO%24+OU+ACORDAO%24+OU+REPERCUSSAO+OU+REU+OU+JUIZAD%24%29&base=baseAcordaos&url=http://tinyurl.com/r52lono
7,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%40JULG+%3E%3D+20090101%29%28%40JULG+%3C%3D+20210101%29&base=baseAcordaos&url=http://tinyurl.com/tbxzngt
2,http://stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%28%40JULG+%3E%3D+20090101%29%28%40JULG+%3C%3D+20210101%29%29+NAO+S%2EPRES%2E&base=baseMonocraticas&url=http://tinyurl.com/wjc4s6p
