,url
61,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1070522&classe=RE-RG
62,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=827996&classe=RE-RG
63,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1041210&classe=RE-RG
64,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1133146&classe=RE-RG
65,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1132478&classe=RE-RG
66,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=862668&classe=RE-RG
67,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1070334&classe=ARE-RG
68,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1123068&classe=RE-RG
69,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=979962&classe=RE-RG
70,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=629647&classe=RE-RG
71,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1140005&classe=RE-RG
72,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=910552&classe=RE-RG
73,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1133118&classe=RE-RG
74,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=959620&classe=ARE-RG
75,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=654833&classe=RE-RG
76,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1093605&classe=RE-RG
77,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=968414&classe=RE-RG
78,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1075412&classe=RE-RG
79,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1089282&classe=RE-RG
80,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1122122&classe=ARE-RG
81,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=960429&classe=RE-RG
82,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1059819&classe=RE-RG
83,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1055941&classe=RE-RG
84,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1093553&classe=RE-RG
85,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1018911&classe=RE-RG
86,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1096029&classe=RE-RG
87,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1037396&classe=RE-RG
88,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1072485&classe=RE-RG
89,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=976610&classe=RE-RG
90,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1052570&classe=ARE-RG
91,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=860631&classe=RE-RG
92,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1074291&classe=ARE-RG
93,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1086583&classe=RE-RG
94,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1040515&classe=RE-RG
95,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1042075&classe=ARE-RG
96,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1056610&classe=ARE-RG
97,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=968646&classe=RE-RG
98,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=946410&classe=ARE-RG
99,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1058333&classe=RE-RG
100,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1052700&classe=ARE-RG
101,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1007860&classe=RE-RG
102,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=902261&classe=RE-RG
103,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=732686&classe=RE-RG
104,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1007271&classe=RE-RG
105,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1039644&classe=RE-RG
106,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1054110&classe=RE-RG
107,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1059466&classe=RE-RG
108,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=&classe=
109,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1068514&classe=ARE-RG
110,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1063187&classe=RE-RG
